# x y z radius flag s ra dec R_eff
-169.04128243715337 162.88440502982797 209.44050219289232 22.44170178630279 0 314.5975342063721 136.06265545087146 41.739204172962516 27.85320200325754
-135.96850622649848 52.52855483415867 271.5381732396927 22.335325862976326 1 308.1877078742433 158.8770157700339 61.77297685778949 30.636713666305894
-167.67959697503076 95.8127023538461 251.7356282803856 21.957089470162288 2 317.2811808471721 150.25620321140852 52.50579782852339 27.851794736714012
-269.45641800522424 -80.65238619701921 134.97718562646713 21.760794870176206 3 311.97821918063613 196.66323797024103 25.63581484396206 29.65780797111131
-229.344681491862 110.97500186973481 103.67740814401115 21.144839328091294 4 275.0698800815006 154.1786499523592 22.1425961110186 28.784594409226
-202.22935409414106 166.7282459379273 104.27767179195939 20.99153552888716 5 282.0795144728221 140.49608135951866 21.695559195287153 28.577770729843483
-162.83056704173163 -16.604918511499623 10.129513917181244 19.660133855581595 6 163.98818230013944 185.82270439591602 3.5414021657354957 26.733287920867106
-141.2741801616913 77.93008470958975 101.07454846849221 19.590686839243787 7 190.38791041269252 151.11786164721772 32.0654345276155 26.22909696011522
-89.04376425936776 -95.45025984346788 220.24951279227153 19.582577866180404 8 256.0261548023881 226.98877839403335 59.34598699248178 24.675879333706824
-60.0978162616191 49.84116817617116 148.78540466873298 19.484155487808245 9 168.02674253528613 140.3299249451626 62.31144423556567 23.475542547726306
-79.78528662789307 -63.67304718605296 133.4262601325146 19.481985241794753 10 167.9955826597885 218.59179247360694 52.58209843181027 25.38480250666595
-104.43002490390941 -150.59883619519738 45.92224651296141 19.43129131952007 11 188.9298607673658 235.26132976016774 14.067513128022538 25.744496595460642
-208.4428391631242 -128.87037801578268 150.25886063886327 19.422886594907165 12 287.46080903108185 211.72654715638805 31.514260829266345 26.10547044840521
-94.13470201251808 -73.64342934510319 105.61672225725475 19.33053009916686 13 159.49792735035422 218.03677132917005 41.46652909479831 25.997389144808174
-225.06275206402876 17.24855631407466 176.73818977489512 19.250772278537507 14 286.683000518798 175.61748273294097 38.06051677391206 25.646801292703408
-252.33372705772615 -25.199317423271058 195.6725292262337 19.218615689279638 15 320.3046270399994 185.70293688506428 37.65425316472624 23.608373333193835
-261.17474738752765 -47.900444511625274 93.17007404005322 19.08383212663021 16 281.4024945766813 190.3927646357808 19.335060063726868 25.78118365664475
-228.385074000911 27.321167347100186 144.7504866583945 19.076501406709962 17 271.7699240156127 173.17825932798814 32.182746269736214 25.79270576806246
-78.34772564317966 82.91787394622867 21.045258100319355 18.96935839638235 18 116.00277075023112 133.37671428110494 10.452499513925732 25.386407814948186
-82.32338060322466 95.03144427095027 133.50486208859283 18.936478864982977 19 183.38937427086748 130.90157111697715 46.71780206996643 24.544556275061698
-203.41349243019138 -163.8964585424709 175.94106651382214 18.87473661936337 20 314.95135642100763 218.85945330802213 33.961059968780944 24.331552679809132
-91.98812593398311 -143.92723164913218 219.7093791707218 18.82498893476697 21 278.29673842611464 237.41615784738784 52.13683255808198 25.620029535748568
-104.83230468785985 -144.16075669443026 189.31359325140448 18.671670565816594 22 260.0226383733486 233.97571545736238 46.72448835796236 24.597277564973
-218.92204607257779 59.947791863762234 144.95689135723364 18.437860431763088 23 269.3196991642046 164.68600067685958 32.56346809696773 25.58403161791123
-195.56044087293142 -144.32301061026956 196.65929981460764 18.363992352119784 24 312.64660182000864 216.4272127848332 38.97746420659507 25.34830996997264
-165.86375045177581 24.408763694252485 32.24215457187534 18.31472698265857 25 170.72237108957785 171.62835374566046 10.886101123427366 24.733978944470522
-142.68178162536543 49.77930650852717 190.29816270618858 18.27839855517352 26 243.00094833890955 160.7669677306479 51.546853481125616 23.855623850784713
-222.10484881570494 184.3062919655334 131.60627880800737 18.265773941661607 27 317.2059043385267 140.31354901276336 24.512532614608457 23.469971215308647
-164.74548384031016 -237.98311877527664 128.3213458550685 18.234962120246102 28 316.612392476734 235.3068092783154 23.90960007775412 24.552258078422614
-151.37515250548782 -104.16182583261427 212.8651387598934 17.949447704728033 29 281.20400078254977 214.53201015967383 49.19847225807324 24.628019608406063
-105.86860216295875 -279.23530468776846 116.44829739334749 17.93368016318374 30 320.5319364335155 249.23639864887332 21.302815937956368 20.99265557668395
-217.26272470651367 206.90115643188454 41.253384413233256 17.79492100819157 31 302.8415787260651 136.39935555724168 7.82923065116371 23.574349550664913
-129.2974067465955 173.02822984935773 237.33457431999256 17.79268422787901 32 320.9116512123684 126.76936203607818 47.694253786437876 22.83685193616725
-253.29220194208096 -113.81590610365593 17.768616231634706 17.77039547745711 33 278.2565790231226 204.19658927216528 3.6612247981198918 23.3435720434656
-104.95217879276893 -13.481411616795532 41.26273589022849 17.761561392917752 34 113.57518067640288 187.3197257507161 21.303471758160025 24.156161469793386
-229.28632709761774 -206.82759247296627 18.363249573686797 17.711789627472047 35 309.3332858535994 222.05202026222312 3.403305424635272 23.708338912528315
-128.62940012251906 -201.78013317656698 213.44729876690442 17.64263359900173 36 320.65634887137406 237.48358667266376 41.73278564241889 21.629275206549742
-161.6069900140631 95.73290213578817 221.24849854653942 17.603449097947152 37 290.2283684994352 149.35830755083109 49.669643751367026 24.10320339515304
-243.93923753233915 103.53175550830035 157.03459357861928 17.509218247428567 38 308.03415327994327 157.00284751710524 30.650245468809764 24.05994450458109
-260.1164441770704 2.392308677324185 185.25702869709127 17.491769338840413 39 319.3531812176066 179.47306166506104 35.457631098063445 21.849775233344868
-193.21918579111517 118.33149697089412 227.71254083795316 17.45238679130916 40 321.2304440554019 148.51582012629052 45.14353414646577 22.2095815877399
-95.37965489358525 78.07265689343643 269.15917108452504 17.40528451803773 41 296.0393178294537 140.69808850183978 65.39513432338948 21.40595879125592
-106.25972934428455 128.18542249351162 188.71606448556753 17.381533922019884 42 251.66721203820248 129.65714577181274 48.57855798752419 23.052390241003717
-243.98307071810754 203.93740056649858 7.937171578658668 17.347031221456426 43 318.0899257120958 140.10886199317835 1.4298272319979535 21.04295883909778
-85.72818835663153 -186.84466580706467 158.99798266590207 17.266778201255107 44 259.8857631946973 245.35336610865556 37.71973332112995 23.455004949689744
