# x y z radius void edge r ra dec Reff
-169.8089305800467 163.57434343936856 210.3571468554907 22.563759264835706 0 1 315.9774801620237 136.07136117565415 41.738707940035376 28.111305531185153
-136.61079571847245 52.7926336628963 272.80227226881317 22.461278567804705 1 1 309.6298619818939 158.87119741802871 61.77041242662349 30.73535074377583
-168.4545092096291 96.24853778143108 253.1202471423988 22.129653009288532 2 1 318.92093410679337 150.25798582106697 52.53048386833889 27.955759143094205
-270.6995571097438 -81.02646271470341 135.6392455392579 21.883949281562142 3 1 313.43506952784935 196.6636237907866 25.64225351643022 29.65215029949703
-230.22104545721382 111.41004391135826 104.04949955450907 21.24092405232525 4 0 276.11632695892337 154.1764341439534 22.137594095207838 28.76928001242392
-203.12564280161666 167.41042470627346 104.67675981667655 21.128712350353016 5 0 283.272838637281 140.50561548844547 21.68640504923315 28.648846940657158
-89.26388635883097 -95.83585259186019 221.10559848188709 19.73150335799752 6 1 256.9829522165323 227.0334324874091 59.36041615335289 24.76274797993312
-163.18432638078843 -16.642762625543128 10.131340131910079 19.713014716601528 7 1 164.34339042696638 185.82331908832037 3.534376022254233 26.800773099228003
-141.6940306614711 78.13595669508508 101.37147689124099 19.668304152323813 8 0 190.94135848700125 151.12583835115643 32.06653567919091 26.325290843836058
-60.20729508724983 49.96897564188035 149.14191115541345 19.560262803536837 9 1 168.41949581776822 140.3090619702804 62.317835541104415 23.386113159654364
-79.97747851844494 -63.80829220838474 133.74771710680582 19.543599360078993 10 0 168.39342937300464 218.58385480794095 52.585165615387595 25.16552845459595
-209.36369956361753 -129.44181816685597 150.8560348011842 19.53956863176558 11 0 288.69687601573077 211.72696601593003 31.502870353578732 26.181084395306744
-94.3599509224589 -73.82751212482052 105.89119624673152 19.386839939408787 12 0 159.89761513916704 218.03973415917355 41.471219236389054 26.015494971243555
-226.024416058695 17.292611466022656 177.50054568789943 19.358359344978666 13 0 287.9106020720511 175.62495392471484 38.06191894616654 25.772184312911374
-262.22940419656766 -48.15688558912088 93.57206141491635 19.23261084188873 14 0 282.5580944378827 190.406084040905 19.33922429440507 25.93645025156642
-229.30680936015662 27.470696171144095 145.30810334404075 19.17279770284106 15 0 272.85654997544947 173.16858728580723 32.17750057937948 26.08052833038347
-78.44684660274613 83.05807335581133 21.089345832620744 19.010793576056358 16 0 116.1779316356682 133.36455710480033 10.458672969743198 25.34034824320928
-82.54543024025519 95.30989240797564 133.88469049155663 19.006280119490736 17 0 183.90985289643575 130.89498927348305 46.71822347221904 24.618460907908048
-204.32456358293442 -164.61941994643277 176.74568607129027 18.98122460521261 18 1 316.36548207993184 218.8575631197195 33.964258359597856 24.42706407561839
-92.31358504709625 -144.52741164050727 220.5773417883742 18.924619256253205 19 1 279.3999542057539 237.43252322349704 52.13582929110028 25.69994810042516
-102.69193704138439 -150.92584712806968 45.119400458294244 18.840287432292726 20 0 188.04256316683475 235.7681125054985 13.883145984676293 25.173739456110873
-252.82995584364173 -25.827469026699884 195.94131815909714 18.82533374441931 21 1 320.9097145462373 185.83273265018883 37.631512229645246 23.37158844109206
-105.23471392035754 -144.69652759007255 190.0847815957124 18.772116694664856 22 0 261.0433954437725 233.97239982751313 46.73345742752312 24.610892355866465
-219.8128278238426 60.2053336695253 145.52913441167982 18.5273151726132 23 0 270.40911678563265 164.68269881015343 32.559918781649486 25.676444670888902
-196.41233974760723 -145.01722318994888 197.55359004185047 18.481844199503957 24 1 314.0624510591428 216.4395833718527 38.97833257343703 25.600972819431092
-143.20570162095527 50.01621739569281 190.96883163922845 18.379647224237388 25 0 243.88232743881886 160.74766512403335 51.53946696608302 23.88018997247666
-166.31064113518707 24.464792035888998 32.3186561481025 18.367830014864957 26 0 171.17900262408227 171.63163709077182 10.88278246021427 24.7548996558035
-223.16035060964666 185.20825011494208 132.26307949244398 18.36620106525009 27 1 318.7415256782271 140.30958304017713 24.516421346794992 23.050377839651215
-165.5618053669776 -239.0522396442853 128.8666675902739 18.351735649855993 28 1 318.0617906809052 235.29446193985825 23.90130221748626 24.57746571891485
-151.9863047388655 -104.56732059413717 213.77185807347507 18.055047125997138 29 0 282.36956044977353 214.52816174783285 49.20605487407028 24.763991936557208
-106.29632685634574 -280.5095761129049 116.98774520237168 18.048537096761784 30 1 321.9792911379981 249.24629283271827 21.30541892499294 22.192845077026444
-217.65157965942933 207.1791196809988 41.38193322451669 17.90238673653013 31 0 303.32797786791264 136.41210666764823 7.841107716570508 23.587071433658675
-129.90814909552026 173.82668177864164 238.42392367131777 17.885588537822613 32 1 322.3938738227255 126.77234199202655 47.69244555211794 23.034008178138585
-254.34967377509844 -114.29549812858262 17.865654524817167 17.850644859594098 33 0 279.42154364608314 204.1974178562341 3.665878148840351 23.487070614427473
-104.7781672338287 -13.346691836592518 41.382025137706 17.842465588966483 34 0 113.44192574334619 187.25926914344436 21.39441273103622 24.122993908133793
-230.32348124910936 -207.77884603443886 18.44075066790698 17.808688373770117 35 1 310.7426848041765 222.0541720979661 3.402166432803279 23.67332417757322
-129.24092587534122 -202.70859887839904 214.41260125322975 17.747124549229518 36 1 322.1284783382798 237.47963683371674 41.729298398803714 21.76538322558097
-162.06383789728196 96.37250868006358 222.0348135473235 17.7198315646413 37 0 291.29333396128396 149.2618412145431 49.66188368690379 24.30850531531301
-245.06278073465037 103.91066503764539 157.80264083775398 17.63711211034847 38 0 309.442831982475 157.02225369011273 30.660987654539813 24.248982461406477
-261.3212168146819 2.3931710831594657 186.06735859605482 17.604593897734855 39 1 320.80456287318003 179.4753018094822 35.450698769899 21.78091029342148
-194.1150806373287 118.84993605524339 228.74035826901724 17.540797318607808 40 1 322.68889558243313 148.52230870353753 45.142012727853306 22.190680063092003
-95.71443275030506 78.3916019142172 270.337440231336 17.529219480585905 41 1 297.30258572407496 140.68199299548647 65.40888742896516 21.56796698786773
-106.64466720479885 128.68443558235907 189.37530732182495 17.481042954212562 42 0 252.5782572344822 129.64956555065982 48.57035819815385 23.027932723390535
-245.07867083352693 204.85430414059286 7.975541884182037 17.42633054881722 43 1 319.5190919034434 140.10870680708453 1.4303131380953344 21.159460855111508
-86.14968939792307 -187.54590770828847 159.56756746926055 17.39330582429521 44 0 260.8774522060914 245.32819517963586 37.7094247650429 23.532073196573307
-156.7398017572364 -91.87930932718746 -1.5761106850957973 17.185967253168876 45 1 181.69110342069706 210.37840684160844 -0.49702831458116603 22.460361763464597
-172.47459754266632 -126.5413010337613 31.049643590286625 17.160071991778317 46 0 216.15797008647527 216.2667818601011 8.25872343787122 23.229394505310854
-222.12829305519094 56.52803163610008 110.3495741886666 17.13666678964512 47 0 254.388335935209 165.7222268588548 25.707939190778397 22.976220605514172
-117.21599430561922 -152.87162451567158 229.48493348065318 17.093298875673828 48 0 299.6208564131263 232.52041779648687 49.988708738013266 23.640246501253625
-183.61808424005469 72.08479950968987 79.99809461060111 17.064510276537156 49 0 212.86501432050005 158.56601777805108 22.074760356009733 22.424229271449178
-236.06553904215428 -122.17190809895389 36.80268559836399 17.0147513587047 50 0 268.34185569726935 207.36309473530895 7.882876204600263 22.887650476927714
-64.00419672602773 -179.28758858575645 177.42722922441766 16.99007706329524 51 1 260.23258498830154 250.35385281586088 42.98465848962878 21.353174656351825
-240.19975010370422 -29.41716556862583 98.29317712006957 16.87738128574437 52 0 261.1950195703036 186.98222100293893 22.105983714428987 23.086496700937023
-282.7868906283942 -62.677482666100865 71.62221037184445 16.829322087240257 53 0 298.3733120826718 192.49712989169902 13.88903582405419 23.044488377026333
-134.1761298108905 -36.52777607439051 62.26592263156265 16.82820247090704 54 0 152.36324148930902 195.22899706385263 24.12116395094468 23.096487639918756
-33.41251288186044 -106.387779776895 81.67023173912446 16.797777751988907 55 1 138.22005084379 252.5644024447066 36.218847597198106 21.557754804154378
-264.34641551858726 -162.03297974289833 87.36328578732372 16.790619251057333 56 1 322.12739347259134 211.5065054014497 15.73611811940655 20.61094445228739
-110.1205045527451 123.56696287618104 148.55441988804742 16.780510506779763 57 0 222.40444129034148 131.7068121368683 41.90882437826555 22.211730317404566
-88.98402993300603 67.31965790151288 215.48693741430785 16.77187999737845 58 1 242.66172775963798 142.89116808990434 62.62470019514187 22.544087503973664
-226.26087977265425 -201.3603969073891 58.73606636328001 16.76152995632265 59 0 308.5286382980167 221.66741716832124 10.974655734877668 22.236795621865642
-251.22756640758314 112.46258304676178 29.316527190419496 16.720858529907968 60 0 276.8078421489048 155.8842171028842 6.079558239933064 21.951744058085257
-140.15870905814887 102.31594962798398 48.1545711984987 16.65298578211544 61 0 180.08853378389824 143.87053131816143 15.509246001897822 22.864113387655227
-181.57832160188897 -242.52405251878758 9.956795203807241 16.633474071946864 62 1 303.1299072949174 233.17771689257407 1.8823117121828095 23.10709173101215
-217.2690632293436 -3.5305947687480645 139.61363222833248 16.59352355059771 63 0 258.28332745255875 180.930967225327 32.72071305035217 22.679129769122905
-238.0813100838293 0.6808850005025648 203.26576211870787 16.587794482349327 64 1 313.0497466303328 179.8361411465231 40.489462110856415 21.95594980471752
-83.86662475152218 -1.696753368222216 189.73736509718353 16.585841841388966 65 1 207.45302464227203 181.15902537242846 66.14955153915258 18.969287380969707
-299.7103567546645 101.0189276301031 63.54060035999421 16.565138639037453 66 1 322.5965430373561 161.37334455414674 11.359603776256503 21.397230431543175
-107.75846628287832 160.71565006213027 185.57671677278364 16.526034249945496 67 0 268.1046904451642 123.84151413294015 43.80292704968399 22.912741593923833
-155.00716994614095 61.814371599563586 219.99495870832837 16.443538984179458 68 0 276.12682073286516 158.25867991234816 52.817741820893666 21.99995121852107
-196.64739876260845 -112.80234871233085 132.3301486708588 16.434007261668057 69 0 262.4992144033391 209.83976636061084 30.272711975496037 21.814169741120327
-166.04758829648634 93.06636856797246 196.10972959653384 16.413373184165746 70 0 273.2986948010084 150.73023733468278 45.85385218466645 22.470826004486014
-105.91078275828147 -93.22083676357768 255.1869183167529 16.411067964422166 71 1 291.5948929446032 221.3536755111366 61.061777823724206 21.24888397194492
-244.5979791588412 45.978306148478396 132.15954781131623 16.40237343525643 72 0 281.7948227391052 169.35405556220883 27.968891926562172 21.6980441385607
-208.7457178901856 -57.04385817703833 168.8662212994638 16.306971115769866 73 0 274.4896668167501 195.28403640461823 37.96650128340301 21.88627615934826
-139.44061670879788 -218.82971522201584 191.11178381196657 16.254390019730106 74 1 322.26362463683404 237.49428035899066 36.372275173294376 20.563895542629137
-216.3447070689491 -95.27997607139478 208.24114695637567 16.24721785232696 75 1 315.0360001692216 203.7690846217572 41.376752910695345 21.517005047253946
-290.5154709867457 -116.8483134171166 30.464271137248375 16.221380961952452 76 1 314.61220422450106 201.91049914095365 5.556724714581937 22.275891455064418
-123.07739759393878 -175.87113559210832 83.20521414013785 16.19453446905267 77 0 230.22121925022554 235.01506396326204 21.187071341642056 21.468546561111918
-82.05736455769075 31.170402139104624 154.19260071234785 16.11712740494198 78 1 177.42706434505644 159.20016266655836 60.34817607628552 21.67783352660065
-216.78392122451166 150.16137279662303 83.48030052293909 16.10074748917308 79 0 276.6092315108842 145.29052053854977 17.565667997289225 21.599201993783307
