# x y z radius flag
4773.209074484103 198.37503235743551 42.64913121846885 42.32238433562759 0
4379.393264023859 192.85394454280998 45.21156069239764 40.82589146582112 1
4597.874692390677 214.1018659470442 43.61834705812676 38.540597970553875 2
3835.8284254037967 174.8892779721012 39.995720565223735 35.56580285694471 3
3842.4490879446244 175.19392575583527 39.799538656300996 35.36201045005942 3
4264.650163338491 176.92003892224798 35.48611967296935 35.31803041141272 4
3898.132057958494 162.31877025641217 36.23920574524079 35.30764836275638 5
3851.269104633594 175.5976149355048 39.74309624888672 35.295336223649485 3
3853.4725806028973 175.69897297045605 39.624650190260915 35.17438589058678 3
4787.913264760157 217.23082740194528 39.62482347644811 34.678499210483174 0
4872.054870873836 192.0203063748897 10.483110958173777 32.63429744310033 6
4871.941260190859 192.22665412891558 11.149991600115278 32.58033749520816 6
4500.81845604412 178.5018896296053 24.00665629407203 32.31822205081993 7
4770.8068648817625 187.7155894298785 14.495767980655428 30.842920609040245 0
4006.1495539422804 162.8351320337286 27.971551365701714 30.572706128894445 8
4683.707205457944 184.25549274012738 14.698372965078917 30.229557612661914 9
4515.057313470038 177.50927039758346 16.45300779647829 29.984868335020046 7
3746.1206002134913 167.3774649059646 33.544989204752014 29.47330637623156 10
4761.86296074562 191.41471731234466 18.95253999241374 28.980619270245942 0
4059.9541722326417 167.73310886294948 27.815099974741834 28.9448185130239 11
4730.8380002033355 186.13749186538598 6.770534524989193 28.88358518973504 14
4247.8686093161205 176.76061624113657 27.36665202077102 28.23097875746838 4
4115.620583488009 170.73885727664185 27.226232270480924 28.142536542047857 12
4796.620196113026 217.96317039940826 32.538118551135064 27.521127766294974 0
4870.192687200707 209.93727633325676 26.677489066400785 27.190480920791153 6
4445.0785443478535 194.62556008180698 30.946613055688708 27.173231622992972 13
4675.244071965892 196.33704124072707 26.694520506291823 27.124092610835863 9
4730.720999061329 188.71339173143193 7.440783501871515 26.463330067797393 14
3961.12875729316 154.7314394748285 12.075938473001829 26.34818187873801 15
4901.752634464522 231.77193113457068 28.336296661838674 25.95662716994105 16
4807.382808666085 194.83517890988819 0.27123577889699524 25.30871851186498 20
4384.256549696052 177.3462523080837 17.36722445237378 25.294325396262465 1
4171.092935450262 192.52978868625428 29.239400466960863 24.37737541127516 17
4064.6509908573976 168.73227505096403 22.456270042186798 24.26841560730884 11
