# NSAID zone depth edge out
999 52 3 0 0
1009 566 2 0 0
1010 143 2 0 0
1012 198 5 0 0
1014 350 4 0 0
1022 350 4 0 0
1029 433 3 0 0
1031 1035 0 1 0
1036 566 2 0 0
1038 1035 0 1 0
1040 198 5 0 0
1041 350 3 0 0
1050 143 2 0 0
1052 350 1 0 0
1054 350 1 0 0
1055 350 2 0 0
1056 143 2 0 0
1057 143 2 0 0
1058 350 1 0 0
1068 713 0 0 0
1069 350 4 0 0
1071 350 4 0 0
1073 350 4 0 0
1077 877 3 0 0
1082 684 3 0 0
1095 52 4 0 0
1098 350 4 0 0
1099 597 2 0 0
1102 1035 0 1 0
1103 1035 0 1 0
1106 1035 0 1 0
1109 597 3 0 0
1110 1035 0 1 0
1112 684 8 0 0
1113 559 2 0 0
1114 1035 0 1 0
1115 684 8 0 0
1116 1035 0 1 0
1117 566 2 0 0
1119 684 6 0 0
1120 684 7 0 0
1129 684 6 0 0
1130 350 7 0 0
1131 350 5 0 0
1132 566 1 0 0
1134 1035 0 1 0
1136 350 7 0 0
1138 350 5 0 0
1139 1035 0 1 0
1147 1035 0 1 0
1148 1035 0 1 0
1149 1035 0 1 0
1150 1035 0 1 0
1152 1035 0 1 0
1153 684 6 0 0
1157 1035 0 1 0
1158 1035 0 1 0
1162 1035 0 1 0
1165 1035 0 1 0
1170 350 8 0 0
1173 684 8 0 0
1178 350 5 0 0
1180 684 8 0 0
1181 350 6 0 0
1182 1035 0 1 0
1184 1035 0 1 0
1185 566 2 0 0
1189 1035 0 1 0
1191 1035 0 1 0
1194 684 7 0 0
1195 350 5 0 0
1202 350 7 0 0
1203 1035 0 1 0
1204 1035 0 1 0
1208 877 4 0 0
1209 350 5 0 0
1210 566 2 0 0
1212 566 2 0 0
1213 198 6 0 0
1215 1035 0 1 0
1216 566 2 0 0
1232 1035 0 1 0
1233 1035 0 1 0
1235 350 6 0 0
1237 350 6 0 0
1238 1035 0 1 0
1254 1035 0 1 0
1257 350 6 0 0
1260 1035 0 1 0
1261 1035 0 1 0
1262 350 4 0 0
1263 198 5 0 0
1272 684 6 0 0
1274 350 3 0 0
1277 52 4 0 0
1287 1035 0 1 0
1289 684 6 0 0
1297 350 2 0 0
1299 350 4 0 0
1300 684 7 0 0
1301 566 1 0 0
1303 350 3 0 0
1310 350 1 0 0
1319 684 3 0 0
1321 684 3 0 0
1331 350 4 0 0
1345 795 2 0 0
1359 566 2 0 0
1361 566 1 0 0
1376 684 5 0 0
1377 350 5 0 0
1383 684 3 0 0
1384 684 2 0 0
1385 684 3 0 0
1387 684 6 0 0
1388 684 3 0 0
1389 684 3 0 0
1390 350 4 0 0
1402 350 4 0 0
1403 684 6 0 0
1408 350 4 0 0
1410 684 3 0 0
1412 350 4 0 0
1413 22 6 0 0
1419 350 4 0 0
1427 1035 0 1 0
1434 1035 0 1 0
1435 1035 0 1 0
1436 350 6 0 0
1437 1035 0 1 0
1444 684 6 0 0
1452 1035 0 1 0
1457 1035 0 1 0
1458 1035 0 1 0
1459 684 5 0 0
1460 22 4 0 0
1462 1035 0 1 0
1464 684 3 0 0
1480 350 4 0 0
1481 684 5 0 0
1482 350 3 0 0
1484 1035 0 1 0
1486 1035 0 1 0
1491 1035 0 1 0
1523 1035 0 1 0
1524 1035 0 1 0
1525 1035 0 1 0
1526 1035 0 1 0
1527 566 1 0 0
1529 684 5 0 0
1530 1035 0 1 0
1531 597 3 0 0
1538 1035 0 1 0
1546 1035 0 1 0
1547 597 4 0 0
1548 597 3 0 0
1550 566 2 0 0
1551 1035 0 1 0
1552 1035 0 1 0
1553 350 6 0 0
1558 1035 0 1 0
1562 1035 0 1 0
1564 1035 0 1 0
1565 1035 0 1 0
1569 1035 0 1 0
1573 350 7 0 0
1585 1035 0 1 0
1591 1035 0 1 0
1592 684 6 0 0
1595 559 3 0 0
1605 684 7 0 0
1612 684 3 0 0
1614 684 3 0 0
1615 684 6 0 0
1616 350 5 0 0
1618 684 3 0 0
1621 350 5 0 0
1623 350 5 0 0
1624 350 6 0 0
1625 684 5 0 0
1626 684 6 0 0
1627 22 6 0 0
1628 22 6 0 0
1633 684 5 0 0
1634 684 5 0 0
1637 566 1 0 0
1640 350 6 0 0
1642 350 7 0 0
1643 22 6 0 0
1646 22 6 0 0
1648 22 5 0 0
1650 22 5 0 0
1652 350 5 0 0
1653 1035 0 1 0
1655 684 5 0 0
1657 684 4 0 0
1660 350 4 0 0
1661 350 6 0 0
1681 350 4 0 0
1685 350 2 0 0
1688 684 2 0 0
1690 450 2 0 0
1692 684 2 0 0
1701 597 3 0 0
1702 713 1 0 0
1703 350 5 0 0
1706 22 3 0 0
1707 350 5 0 0
1709 684 4 0 0
1710 350 2 0 0
1713 713 1 0 0
1715 684 3 0 0
1717 566 2 0 0
1724 566 1 0 0
1725 684 4 0 0
1726 22 4 0 0
1728 713 2 0 0
1731 684 3 0 0
1739 350 2 0 0
1740 143 2 0 0
1742 350 2 0 0
1744 1035 0 1 0
1745 1035 0 1 0
1747 1035 0 1 0
1750 1035 0 1 0
1753 1035 0 1 0
1754 1035 0 1 0
1756 1035 0 1 0
1757 1035 0 1 0
1758 22 5 0 0
1759 1035 0 1 0
1760 566 3 0 0
1762 143 3 0 0
1763 1035 0 1 0
1764 597 2 0 0
1769 1035 0 1 0
1771 1035 0 1 0
1772 22 7 0 0
1779 1035 0 1 0
1780 1035 0 1 0
1782 1035 0 1 0
1785 566 4 0 0
1786 22 5 0 0
1791 1035 0 1 0
1797 1035 0 1 0
1799 22 4 0 0
