# x y z radius void edge r ra dec Reff
-169.04128243715337 162.88440502982797 209.44050219289232 22.44170178630279 0 1 314.5975342063721 136.06265545087146 41.739204172962516 27.855157995779262
-135.96850622649848 52.52855483415867 271.5381732396927 22.335325862976326 1 1 308.1877078742433 158.8770157700339 61.77297685778949 30.611319498762835
-167.61151272053894 95.79192425084427 251.20074343761445 21.814417998504215 2 1 316.81465473010724 150.251532531674 52.456879159791505 27.94293226185583
-269.4564180052243 -80.6523861970192 134.97718562646713 21.760794870176248 3 1 311.9782191806362 196.66323797024103 25.635814843962052 29.5412336568886
-229.34468149186196 110.97500186973481 103.67740814401114 21.144839328091294 4 0 275.0698800815006 154.1786499523592 22.142596111018598 28.694336538652227
-202.22935409414106 166.7282459379273 104.27767179195939 20.99153552888716 5 0 282.0795144728221 140.49608135951866 21.695559195287153 28.490050115582306
-162.83056704173163 -16.604918511499612 10.129513917181251 19.6601338555816 6 1 163.98818230013944 185.822704395916 3.541402165735498 26.729321402712394
-141.27418016169128 77.93008470958975 101.0745484684922 19.59068683924381 7 0 190.38791041269246 151.11786164721772 32.06543452761551 26.08966424100223
-89.04376425936776 -95.45025984346788 220.24951279227153 19.582577866180404 8 1 256.0261548023881 226.98877839403335 59.34598699248178 24.511240151649663
-79.78528662789307 -63.67304718605296 133.4262601325146 19.481985241794753 9 0 167.9955826597885 218.59179247360694 52.58209843181027 25.126887332554258
-104.43002490390941 -150.59883619519738 45.92224651296141 19.43129131952007 10 0 188.9298607673658 235.26132976016774 14.067513128022538 25.74040243209447
-208.44283916312418 -128.87037801578262 150.25886063886327 19.42288659490717 11 0 287.46080903108185 211.72654715638802 31.514260829266345 26.070154846226696
-60.460300837302704 49.604776237445755 148.9477634225524 19.348812233367404 12 1 168.23055023236668 140.63276461273225 62.298173191881915 23.043304737423032
-94.13470201251806 -73.64342934510319 105.61672225725476 19.33053009916689 13 0 159.49792735035422 218.03677132917008 41.46652909479831 25.92190836058981
-225.06275206402876 17.24855631407466 176.73818977489512 19.250772278537507 14 0 286.683000518798 175.61748273294097 38.06051677391206 25.512613841465832
-252.33372705772612 -25.199317423271076 195.67252922623368 19.218615689279616 15 1 320.30462703999933 185.70293688506428 37.65425316472624 23.674520532046778
-261.1747473875276 -47.90044451162529 93.1700740400533 19.083832126630252 16 0 281.4024945766813 190.3927646357808 19.335060063726882 25.79334309166446
-228.385074000911 27.321167347100186 144.7504866583945 19.076501406709962 17 0 271.7699240156127 173.17825932798814 32.182746269736214 25.91864931692613
-78.34772564317966 82.91787394622867 21.045258100319355 18.96935839638235 18 0 116.00277075023112 133.37671428110494 10.452499513925732 25.321927864734526
-82.32338060322466 95.03144427095027 133.50486208859283 18.936478864982977 19 0 183.38937427086748 130.90157111697715 46.71780206996643 24.505713677921257
-203.41349243019138 -163.8964585424709 175.9410665138221 18.87473661936337 20 1 314.95135642100763 218.85945330802213 33.96105996878094 24.250651274989522
-91.9881259339831 -143.92723164913218 219.7093791707218 18.824988934766992 21 1 278.29673842611464 237.41615784738784 52.13683255808198 25.62356761704572
-104.83230468785983 -144.16075669443026 189.31359325140446 18.671670565816598 22 0 260.02263837334857 233.97571545736238 46.72448835796236 24.440421057390775
-218.92204607257779 59.947791863762234 144.95689135723364 18.437860431763088 23 0 269.3196991642046 164.68600067685958 32.56346809696773 25.555454710945508
-195.56044087293142 -144.32301061026956 196.65929981460764 18.363992352119784 24 1 312.64660182000864 216.4272127848332 38.97746420659507 25.251996423078882
-165.86375045177581 24.408763694252485 32.24215457187534 18.31472698265857 25 0 170.72237108957785 171.62835374566046 10.886101123427366 24.748318278990073
-142.6857530441663 49.851526819300574 190.2988845688077 18.291300079012707 26 0 243.01865014053683 160.74161428583642 51.54187180320781 23.643800209286358
-222.1048488157049 184.3062919655334 131.60627880800743 18.265773941661593 27 1 317.2059043385267 140.31354901276336 24.512532614608467 23.05752144415672
-164.74548384031016 -237.98311877527664 128.3213458550685 18.234962120246102 28 1 316.612392476734 235.3068092783154 23.90960007775412 24.44844602962346
-151.3751525054878 -104.16182583261428 212.86513875989343 17.949447704728055 29 0 281.20400078254977 214.53201015967386 49.198472258073245 24.597945972884848
-105.86860216295877 -279.23530468776846 116.44829739334749 17.93368016318374 30 1 320.5319364335155 249.23639864887332 21.302815937956368 21.787968834823896
-216.98486630288176 206.78496597509155 41.00463223760915 17.91330510023414 31 0 302.5290634348059 136.3788108019778 7.789816606923808 23.572830303316298
-104.61292337768522 -13.32927672468878 41.31146853319539 17.806939318013278 32 0 113.26151503488713 187.261227526132 21.39183458020501 24.116605024001363
-129.2974067465955 173.02822984935773 237.33457431999256 17.79268422787901 33 1 320.9116512123684 126.76936203607818 47.694253786437876 21.99102797786764
-253.29220194208096 -113.81590610365593 17.768616231634706 17.77039547745711 34 0 278.2565790231226 204.19658927216528 3.6612247981198918 23.36656294875389
-229.28632709761774 -206.82759247296627 18.363249573686797 17.711789627472047 35 1 309.3332858535994 222.05202026222312 3.403305424635272 23.563837786758597
-128.62940012251906 -201.78013317656698 213.4472987669044 17.642633599001734 36 1 320.65634887137406 237.48358667266376 41.73278564241889 21.750355705631723
-161.44335037902158 95.91503081307509 221.1783734272427 17.623436388295048 37 0 290.14396666034173 149.28505014842497 49.66787912308924 24.158774150648597
-243.93923753233915 103.53175550830036 157.03459357861925 17.50921824742858 38 0 308.03415327994327 157.0028475171052 30.650245468809757 24.027851318803254
-260.08251384795636 2.3114031118161895 183.7290423949682 17.49599183988607 39 1 318.4409169896195 179.49081483935979 35.2373100616942 21.95282580028243
-193.21918579111517 118.33149697089412 227.71254083795316 17.45238679130916 40 1 321.2304440554019 148.51582012629052 45.14353414646577 21.85908868688092
-95.37965489358528 78.07265689343643 269.159171084525 17.405284518037714 41 1 296.03931782945364 140.69808850183978 65.39513432338948 21.404360380046736
-106.25972934428464 128.18542249351162 188.71606448556747 17.381533922019937 42 0 251.66721203820248 129.65714577181274 48.57855798752417 22.874239488233115
-243.98307071810754 203.93740056649858 7.937171578658668 17.347031221456426 43 1 318.0899257120958 140.10886199317835 1.4298272319979535 21.12739091957289
-85.85820109166849 -186.80936950293537 158.97957013183375 17.27904816489136 44 0 259.8920447956887 245.31633268942852 37.71353081064992 23.448165407681376
-156.34112034074025 -91.60963908272117 -1.535691593218448 17.11057105737253 45 1 181.2104583928139 210.3685956165176 -0.48556634619330047 22.357108077836592
-171.90740145336073 -126.15325294013539 30.92693860893242 17.076992123295014 46 0 215.46060761435112 216.27286813455515 8.252668521752682 23.26649281910955
-221.30030806963714 56.32938381525113 109.94244078036432 17.060497484569062 47 0 253.4446016735533 165.71929420364359 25.70850205795601 22.778121907953132
-183.06017509461054 71.84880494964459 79.77539895253537 16.99327998343362 48 0 212.22015162655435 158.57062021420037 22.080486492710925 22.319565787733893
-116.70374128809483 -152.15883760654106 228.47020859075164 16.981936482493957 49 0 298.2795858014991 232.51228869676098 49.992466775556856 23.03320666186048
